C_q,Delta,E_NUC,E_miss,E_rep,L_E,L_G,L_G_posthoc,L_q,L_surface,accepted_iterations,admission_reasons,admitted,anisotropy_level,best_feasible_actual_L_q,candidate_evaluations,method,min_joint_limit_margin,min_sigma_min_5,objective,parameters,placement_id,relative_surface_length_change,surface_id,terminal_q_mismatch,window_id
6.003156704467421,-0.005701502957849413,0.9936080951159177,0.992774368391907,0.0008337267240107142,0.04597704296108438,,0.2511963909993495,0.27600739370342037,0.04597704296108438,6,,True,P_mid,0.26018711070655476,60,M1,0.3254207997996243,0.6653159499293885,0.04597704296108438,"[[-0.00048507125007266603, 0.0019402850002906641], [0.00048507125007266603, -0.0014402850002906641], [0.0, -0.001]]",T27,0.015379513190009651,hemisphere,0.00044471861701189663,hemisphere_P_mid_W01
5.788906908994323,0.007659732463588615,0.994163912931925,0.9930522772999106,0.0011116356320142857,0.04704523755875797,0.24695546724869294,,0.2723405007391732,0.04704523755875797,6,,True,P_mid,0.26018711070655476,60,M2,0.32549458496769623,0.6670823636474897,0.24695546724869294,"[[0.0, -0.001], [0.0, 0.002], [-0.0005, 0.0005]]",T27,0.00749638784737106,hemisphere,0.00044668846521456196,hemisphere_P_mid_W01
6.884259720760628,0.02224103789486807,0.993128015974775,0.993128015974775,0.0,0.04671272571952636,,0.31056655502851943,0.32158253611787435,0.04671272571952636,7,,True,P_mid,0.3214031416012043,60,M1,0.25515057266279245,0.3719565666785163,0.04671272571952636,"[[-0.001788854381999832, 0.000894427190999916], [-0.0019384361995689109, 0.0004924074534375345], [-0.002, 0.0]]",T27,0.0038928043553189376,hemisphere,0.00045699984284297557,hemisphere_P_mid_W02
6.881396786872514,0.022055398457212962,0.993128015974775,0.993128015974775,0.0,0.046741032734720626,0.31040563762784357,,0.32164359247580954,0.046741032734720626,9,,True,P_mid,0.32164359247580954,60,M2,0.2551505726628007,0.3719565666785693,0.31040563762784357,"[[-0.0015, 0.0], [-0.0012257124189220337, -0.0010108989302488472], [-0.0016086092985629467, -0.001188434316475599]]",T27,0.003289182513777654,hemisphere,0.0009080794633170575,hemisphere_P_mid_W02
24.451428865487966,0.0,0.9976325449856752,0.9955910297074412,0.002041515278234001,0.04722155464923569,0.8496242366001824,,1.154634484423539,0.04722155464923569,0,,True,P_mid,1.0811614717924052,60,M1,0.2216168531049809,0.3172386405219124,0.04722155464923569,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T27,0.0,hemisphere,0.0,hemisphere_P_mid_W03
24.451428865487966,0.0,0.9976325449856752,0.9955910297074412,0.002041515278234001,0.04722155464923569,0.8496242366001824,,1.154634484423539,0.04722155464923569,0,,True,P_mid,1.0811614717924052,60,M2,0.2216168531049809,0.3172386405219124,0.8496242366001824,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T27,0.0,hemisphere,0.0,hemisphere_P_mid_W03
16.540923943027664,0.0,0.99733418627566,0.99563947852366,0.0016947077520000245,0.04852586982151051,0.6321878157788641,,0.8026627219868667,0.04852586982151051,0,,True,P_mid,0.7324286376649861,60,M1,0.22438969597707678,0.45977119983830944,0.04852586982151051,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T27,0.0,hemisphere,0.0,hemisphere_P_mid_W04
16.540923943027664,0.0,0.99733418627566,0.99563947852366,0.0016947077520000245,0.04852586982151051,0.6321878157788641,,0.8026627219868667,0.04852586982151051,0,,True,P_mid,0.7324286376649861,60,M2,0.22438969597707678,0.45977119983830944,0.6321878157788641,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T27,0.0,hemisphere,0.0,hemisphere_P_mid_W04
12.641414384815626,0.013539118220073204,0.9938402749096086,0.9938402749096086,0.0,0.04682963347304011,,0.5386781082563673,0.5919928022217326,0.04682963347304011,7,,True,P_mid,0.5918381732582312,60,M1,0.1749655325368837,0.6248827821977935,0.04682963347304011,"[[0.0, -0.002], [0.0, 0.0015], [-0.00038992421675556753, 0.00196162154993963]]",T27,0.01344562992021273,hemisphere,0.0004512865450290171,hemisphere_P_mid_W05
12.636402747422128,0.013765604356477551,0.9938402749096086,0.9938402749096086,0.0,0.04683745015684447,0.5386418127695172,,0.5918568838441964,0.04683745015684447,4,,True,P_mid,0.5918381732582312,60,M2,0.17496553253688293,0.6248827821977935,0.5386418127695172,"[[0.0, -0.002], [0.0, 0.001], [0.0, 0.002]]",T27,0.01328095676360637,hemisphere,0.00023526132787443643,hemisphere_P_mid_W05
11.30882962639105,0.008675210158420377,0.9957755399829825,0.995132645407887,0.000642894575095525,0.04661912688841834,,0.49063072465209456,0.527207763312229,0.04661912688841834,4,,True,P_mid,0.5087150460439638,60,M1,0.17005824307877282,0.6835802002121374,0.04661912688841834,"[[0.0005, 0.0], [0.0, -0.002], [-0.001, 0.0]]",T27,0.011854012949843546,hemisphere,0.0003358193462799086,hemisphere_P_mid_W06
11.295417873205931,0.009250857176803337,0.9957755399829825,0.995132645407887,0.000642894575095525,0.04664737753031185,0.490347392924154,,0.5269016218940692,0.04664737753031185,7,,True,P_mid,0.5087150460439638,60,M2,0.170187097264907,0.6835802002121374,0.490347392924154,"[[0.0005, 0.0], [0.00038992421675556753, -0.00196162154993963], [-0.0005, 0.0]]",T27,0.011255208118395872,hemisphere,5.047479285114065e-05,hemisphere_P_mid_W06
12.714799108835907,0.0,0.9968980253568458,0.9955764899673795,0.001321535389466336,0.04953445683711794,0.6139803701446631,,0.6298206676492579,0.04953445683711794,0,,True,P_mid,0.5882910321906595,60,M1,0.10066604574456714,0.47741215319063124,0.04953445683711794,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T27,0.0,hemisphere,0.0,hemisphere_P_mid_W07
12.714799108835907,0.0,0.9968980253568458,0.9955764899673795,0.001321535389466336,0.04953445683711794,0.6139803701446631,,0.6298206676492579,0.04953445683711794,0,,True,P_mid,0.5882910321906595,60,M2,0.10066604574456714,0.47741215319063124,0.6139803701446631,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0]]",T27,0.0,hemisphere,0.0,hemisphere_P_mid_W07
9.543076667581875,0.020331912448590943,0.9935848752759462,0.9935848752759462,0.0,0.04704640301822787,,0.39212651929165465,0.44896743093690394,0.04704640301822787,5,,True,P_mid,0.4422524899457958,60,M1,0.20345382427985953,0.5661041480536564,0.04704640301822787,"[[0.0006107863753620878, 0.001904452678244341], [0.0005, -0.0005], [0.0, 0.0]]",T27,0.019917419481393216,hemisphere,0.00011617674495667529,hemisphere_P_mid_W08
9.50821038469424,0.022769442166594923,0.9935848752759462,0.9935848752759462,0.0,0.04710143432988157,0.39123381538033236,,0.4478503470293737,0.04710143432988157,3,,True,P_mid,0.4422524899457958,60,M2,0.20345382427985959,0.5661041480536567,0.39123381538033236,"[[0.0, 0.002], [-0.0005, -0.0005], [0.0, 0.0]]",T27,0.01877099326228386,hemisphere,0.00041541227134711534,hemisphere_P_mid_W08
8.255523843374075,0.02865229927636507,0.9935517343624978,0.9933910107187239,0.00016072364377388144,0.046975599969627725,,0.36516053308697094,0.3878081856060641,0.046975599969627725,9,,True,P_mid,0.3745526661766374,60,M1,0.2064517234708451,0.6791773039172024,0.046975599969627725,"[[-0.001788854381999832, -0.000894427190999916], [-0.0008944271909999159, -0.0017888543819998318], [0.0005, 0.0]]",T27,0.01786657972022806,hemisphere,0.0012647336100091167,hemisphere_P_mid_W09
