scene_id,kind,method,witness_hash,duration_s,status,cache_hit
TR13,teacher_graph_validation,A,66e8299c4b4919c86ed0e9af3cf93a3292e5b7bbdba6d01c2b274a2d54e4a583,67.98635416477919,coverage_contract_failed_under_refined_checks,False
TR13,teacher_graph_validation,A,2530634f472218e79778eb2b623561884c207e4ce7ce2c295469691d054d3c62,68.00194241851568,accepted_under_E09_R1_refined_sampled_checks,False
VA01,teacher_graph_validation,P,5ce4ccd65834205805cc86defb393d86857c0be1646dc0e55278da43926f956f,69.70347931236029,accepted_under_E09_R1_refined_sampled_checks,False
VA01,teacher_graph_validation,P,b19c7a19c3f5ff379b06103e43eadaa010cfd7e14fe60d52ab1d1ff0ec1aa088,70.34409648925066,accepted_under_E09_R1_refined_sampled_checks,False
TR02,teacher_graph_validation,F,8ffbc319c69950b87e20bfdb0bbd3fb23dae9bd2cc7afbd5fa39d8e37e3e3d02,67.65762005001307,accepted_under_E09_R1_refined_sampled_checks,False
TR02,teacher_graph_validation,P,8ffbc319c69950b87e20bfdb0bbd3fb23dae9bd2cc7afbd5fa39d8e37e3e3d02,66.63410206139088,accepted_under_E09_R1_refined_sampled_checks,False
TR02,teacher_graph_validation,P,6581c50275bafacb33a5804521693fcb2fffb2bb9d3411f7d2245a7f7adc8bcb,61.75278489291668,accepted_under_E09_R1_refined_sampled_checks,False
TR10,teacher_graph_validation,F,c96bf8c2e46665792c8accb3368ee19fdf431d48f8e4326f199a82e4c14cf654,66.39982687681913,accepted_under_E09_R1_refined_sampled_checks,False
TR10,teacher_graph_validation,P,c96bf8c2e46665792c8accb3368ee19fdf431d48f8e4326f199a82e4c14cf654,66.83825993537903,accepted_under_E09_R1_refined_sampled_checks,False
TR10,teacher_graph_validation,P,affeeae35608a0fa61f67a6dbb0973af059aa7cd558e10ec7bd7d159dc74bedf,67.49683959037066,accepted_under_E09_R1_refined_sampled_checks,False
TR14,teacher_graph_validation,A,160e633ceac904120cbf1f07920d826caf98d3a9c0273b02b4aecfe8be809b40,71.41886717826128,accepted_under_E09_R1_refined_sampled_checks,False
TR14,teacher_graph_validation,A,27d287f72a3abbb8f09f56a27c7e6fc1db4b9d0dce1333984937749d92b9aaf9,71.87613528966904,accepted_under_E09_R1_refined_sampled_checks,False
TR18,teacher_graph_validation,P,7bc4cd0c8bd59e588bf88c28f9b6bdeb4f2c68fba90e9310091a0bc177d06f52,70.02263417840004,accepted_under_E09_R1_refined_sampled_checks,False
TR18,teacher_graph_validation,P,7427d11767ef404c9194f3717abcd7af9e5663aefa791e8a82ee90c7797cf57e,69.91976441442966,accepted_under_E09_R1_refined_sampled_checks,False
VA02,teacher_graph_validation,P,b8d1094a54970b5cb5e4c19cd8e4236bf86c8a7a756158049e64143d7bfd5c3b,66.60914932191372,coverage_contract_failed_under_refined_checks,False
VA02,teacher_graph_validation,P,7efa21fb689b9846752013767423898e1cab30d14456e49b49b0cd6e41b68584,66.65149846673012,coverage_contract_failed_under_refined_checks,False
TR03,teacher_graph_validation,A,4ac6dda61d361cfb331edbfe75d3c7a8c8e58207f7e93e7531e0ff04d0cd1df9,71.61585848033428,accepted_under_E09_R1_refined_sampled_checks,False
TR03,teacher_graph_validation,A,ef8711c49385820a29ff071709bca2ab744d6e154ad44d39772af3ad17bb534d,66.58928578346968,accepted_under_E09_R1_refined_sampled_checks,False
TR07,teacher_graph_validation,P,51c1d6429fa3ba49afed58eabb556c7bc15e45dfe8622b2ff2a1a15af30e0521,71.66546785831451,accepted_under_E09_R1_refined_sampled_checks,False
TR07,teacher_graph_validation,P,63d709032594836f4c818c39c49c5b20d05e1e94323eebe8514203833b88ddc6,71.46715574711561,accepted_under_E09_R1_refined_sampled_checks,False
