scene_id,attempt_id,kind,geometry_arc_id,source_node,target_node,source_port,target_port,source_rank,target_rank,accepted,reason,ik_calls_after,elapsed_s,max_position_error_m,max_axis_error_deg,min_sigma5,min_joint_margin,collision_free,projection_residual_max_m
H03,1093,cross_port,834,279,593,72,154,0,0,True,accepted,92257,0.033436477184295654,7.75643387871043e-06,0.0012198435693414594,0.36752243918047545,0.09843816339118065,True,3.087345858104884e-06
H03,1094,off_reconfiguration,-1,122,120,30,30,3,1,True,accepted,92259,0.08806226402521133,1.9243526118549004e-05,0.003723838166699785,0.5532030486625317,0.02605314001798971,True,1.0853699776963972
H03,1095,source,365,715,711,185,184,0,0,True,accepted,92460,0.1842571273446083,3.622059923440952e-06,0.0013447387556705592,0.6133808321739945,0.3165011162441722,True,7.281833227235079e-07
H03,1096,cross_port,835,279,560,72,145,0,0,True,accepted,92519,0.056917183101177216,6.540581746090785e-06,0.0005481865107227127,0.4328252367189597,0.09843816339118065,True,3.0832407108827287e-06
H03,1097,off_reconfiguration,-1,122,121,30,30,3,2,True,accepted,92521,0.06520013511180878,1.9243526118549004e-05,3.3264318547856216e-05,0.5532030486625317,0.1454463911184117,True,1.0154079271350516
H03,1098,source,366,715,719,185,186,0,0,True,accepted,92725,0.18843524158000946,3.4682037856911757e-06,0.0012172632662627641,0.5862504785251405,0.22112692122158925,True,7.281833227235079e-07
H03,1099,cross_port,836,283,869,73,225,0,0,True,accepted,92757,0.033037081360816956,2.2655594324849198e-06,8.873908231373077e-05,0.571747928345553,0.12382494198176416,True,1.6423630784245802e-06
H03,1100,off_reconfiguration,-1,123,124,31,31,0,1,True,accepted,92759,0.06577939540147781,2.2558162019157064e-06,6.82485099868573e-05,0.692841382478521,0.025000263121501966,True,0.8251190066727879
H03,1101,source,367,719,715,186,185,0,0,True,accepted,92963,0.18644043803215027,3.49067502845242e-06,0.001214119559719887,0.5862505105430562,0.22112692122158925,True,7.281833227235079e-07
H03,1102,cross_port,837,283,597,73,155,0,0,True,accepted,92995,0.03241831064224243,1.96025176997602e-06,0.00047667567375375,0.571747928345553,0.11662404661711603,True,1.7221133749578676e-06
H03,1103,off_reconfiguration,-1,123,125,31,31,0,2,True,accepted,92997,0.04030638188123703,1.102483416298511e-07,1.006584283732318e-05,0.7058207094540297,0.15334521810197924,True,0.6875703423632605
H03,1104,source,368,719,723,186,187,0,0,True,accepted,93204,0.19114584475755692,3.327076277815998e-06,0.0010618534926865341,0.6092726493439812,0.1690453841097257,True,1.0546886294593438e-06
H03,1105,cross_port,838,283,556,73,144,0,0,True,accepted,93263,0.057973235845565796,2.0284086403396695e-06,0.000606955005026029,0.5343522889509966,0.12382494198176416,True,2.023641437642887e-06
H03,1106,off_reconfiguration,-1,123,126,31,31,0,3,True,accepted,93265,0.03111080825328827,2.401680352851767e-06,2.9575586669421963e-06,0.5981640919466505,0.15334521982725896,True,0.51664936426554
H03,1107,source,369,723,719,187,186,0,0,True,accepted,93472,0.19454633444547653,3.296983339502436e-06,0.0010613783498766643,0.6092726493439812,0.1690453841097257,True,1.0546886294593438e-06
H03,1108,cross_port,839,287,601,74,156,0,0,True,accepted,93504,0.03226783871650696,1.7959806485119913e-05,0.0023161532080978727,0.2525553866869344,0.1679016256130206,True,1.4933123790028535e-06
H03,1109,off_reconfiguration,-1,124,123,31,31,1,0,True,accepted,93506,0.06584552675485611,2.2558162019157064e-06,6.82485099868573e-05,0.692841382478521,0.025000263121501966,True,0.8251190066727879
H03,1110,source,370,723,727,187,188,0,0,True,accepted,93707,0.18416159600019455,3.4602627012379496e-06,0.0009774615805783606,0.540449198588356,0.16676725224237182,True,1.0546886294593438e-06
H03,1111,cross_port,840,287,865,74,224,0,0,True,accepted,93742,0.034561753273010254,1.7959806485085435e-05,0.002022116695481248,0.2525553866869344,0.18054566409469164,True,1.1742496509314915e-06
H03,1112,off_reconfiguration,-1,124,125,31,31,1,2,True,accepted,93744,0.09450340270996094,2.2558162019157064e-06,6.82485099868573e-05,0.692841382478521,0.025000263121501966,True,0.7756667163038707
H03,1113,source,371,727,723,188,187,0,0,True,accepted,93945,0.18488973379135132,3.4522798161929355e-06,0.0009739738843183423,0.540449198588356,0.16676724817509458,True,1.115104380194909e-06
H03,1114,cross_port,841,287,553,74,143,0,0,True,accepted,94004,0.057896971702575684,1.7959806485154387e-05,0.002022116695481248,0.2525553866869344,0.18054566409469164,True,1.1742496509314915e-06
H03,1115,off_reconfiguration,-1,124,126,31,31,1,3,True,accepted,94006,0.0930851548910141,2.401680352851767e-06,6.82485099868573e-05,0.5981640919466505,0.025000263121501966,True,1.061488097434827
H03,1116,source,372,727,731,188,189,0,0,True,accepted,94210,0.18493344634771347,3.302578587267751e-06,0.0011897368692390972,0.5389914398904107,0.19279049618740854,True,7.610103033295346e-07
H03,1117,cross_port,842,291,604,75,157,0,0,True,accepted,94242,0.03381733596324921,1.9010701264682777e-05,0.008397791329087868,0.4117807208133766,0.29120751767055,True,5.319376800094755e-06
H03,1118,off_reconfiguration,-1,125,123,31,31,2,0,True,accepted,94244,0.04079420119524002,1.102483416298511e-07,1.006584283732318e-05,0.7058207094540297,0.15334521810197924,True,0.6875703423632606
H03,1119,source,373,731,727,189,188,0,0,True,accepted,94448,0.1885974407196045,3.343710901108732e-06,0.001193423786207395,0.5389915653808833,0.19279049618740854,True,6.188037328380691e-07
H03,1120,cross_port,843,291,861,75,223,0,0,True,accepted,94486,0.038497380912303925,7.441104216494075e-06,0.0032849350176025875,0.4628627571820595,0.29767473255604615,True,4.451098008145804e-06
H03,1121,off_reconfiguration,-1,125,124,31,31,2,1,True,accepted,94488,0.09651456773281097,2.2558162019157064e-06,6.82485099868573e-05,0.692841382478521,0.025000263121501966,True,0.7756667163038706
H03,1122,source,374,731,735,189,190,0,0,True,accepted,94695,0.1879558116197586,3.1745046692518527e-06,0.0013300543925366143,0.6548205822901317,0.28219611608262507,True,7.598900357841387e-07
H03,1123,cross_port,844,291,549,75,142,0,0,True,accepted,94754,0.058697424829006195,7.441104216525539e-06,0.0032849349066522266,0.4696345765512405,0.29767473255604615,True,4.451098008145804e-06
H03,1124,off_reconfiguration,-1,125,126,31,31,2,3,True,accepted,94756,0.0660630539059639,2.401680352851767e-06,1.006584283732318e-05,0.5981640919466505,0.15334521810197924,True,1.0568153374216278
H03,1125,source,375,735,731,190,189,0,0,True,accepted,94963,0.18772754818201065,3.187503357477484e-06,0.0013302875651747693,0.6548205822901317,0.28219611608262507,True,6.179945884476901e-07
H03,1126,cross_port,845,295,608,76,158,0,0,True,accepted,94995,0.03208130598068237,3.951645834802534e-06,0.0010082387190580582,0.6781095956533172,0.3313930705131195,True,3.2640042257336965e-06
H03,1127,off_reconfiguration,-1,126,123,31,31,3,0,True,accepted,94997,0.028701134026050568,2.401680352851767e-06,2.9575586669421963e-06,0.5981640919466505,0.15334521982725896,True,0.51664936426554
H03,1128,source,376,735,739,190,191,0,0,True,accepted,95197,0.1800178363919258,3.1615338232435606e-06,0.0013272580685020402,0.6324334843460652,0.3490789946226115,True,1.8598211797837827e-06
H03,1129,cross_port,846,295,857,76,222,0,0,True,accepted,95238,0.04010673612356186,3.951645834802534e-06,0.00100823835757146,0.6549070722618463,0.3366646093780075,True,3.112921358461307e-06
H03,1130,off_reconfiguration,-1,126,124,31,31,3,1,True,accepted,95240,0.09234985709190369,2.401680352851767e-06,6.82485099868573e-05,0.5981640919466505,0.025000263121501966,True,1.061488097434827
H03,1131,source,377,739,735,191,190,0,0,True,accepted,95440,0.17932403087615967,3.1714216406337657e-06,0.001327246809864979,0.6324334843460652,0.3490789946226115,True,1.8598211797837827e-06
H03,1132,cross_port,847,295,612,76,159,0,0,True,accepted,95490,0.0481702983379364,1.164547630906983e-05,0.003645480203004719,0.6988473767858334,0.33787834945947437,True,6.260205884622838e-06
H03,1133,off_reconfiguration,-1,126,125,31,31,3,2,True,accepted,95492,0.06747788190841675,2.401680352851767e-06,1.006584283732318e-05,0.5981640919466505,0.15334521810197924,True,1.0568153374216274
H03,1134,source,378,739,743,191,192,0,0,True,accepted,95695,0.18641386181116104,3.4123277979616456e-05,0.006627527465064746,0.5631589467195874,0.2847002097413573,True,1.1874629584934793e-05
H03,1135,cross_port,848,295,545,76,141,0,0,True,accepted,95754,0.05581510066986084,3.951645834802534e-06,0.0010082387190580582,0.6856489134292522,0.33787834945947437,True,3.112921358461307e-06
H03,1136,off_reconfiguration,-1,127,128,32,32,0,1,True,accepted,95756,0.06415766477584839,3.143404401705634e-05,0.0021371451744063544,0.6372641006197819,0.017928025318194263,True,0.23948679634529713
H03,1137,source,379,743,739,192,191,0,0,True,accepted,95959,0.18503225594758987,3.4123277979616456e-05,0.006627527465064746,0.5631589467195874,0.2847002097413573,True,1.1874629584934793e-05
H03,1138,cross_port,849,299,575,77,149,0,0,True,accepted,95996,0.03660297393798828,3.3493846452852254e-05,0.01794573206172778,0.7513497031597335,0.3740880907023987,True,8.687629858561419e-07
H03,1139,off_reconfiguration,-1,127,129,32,32,0,2,True,accepted,95998,0.06584829092025757,3.143404401705634e-05,0.0021371451744063544,0.6372859951592453,0.013147769334663908,True,0.7798980004416876
H03,1140,source,380,743,747,192,193,0,0,True,accepted,96203,0.18837255984544754,3.4123277979616456e-05,0.006627527465064746,0.5461213287943292,0.19338162397941586,True,1.1874629584934793e-05
H03,1141,cross_port,850,299,853,77,221,0,0,True,accepted,96245,0.040965162217617035,1.7572132114683533e-05,0.011775123549221923,0.7480411625278965,0.3774249151253363,True,1.358959784450442e-05
H03,1142,off_reconfiguration,-1,127,130,32,32,0,3,True,accepted,96247,0.04945896565914154,3.143404401705634e-05,0.0021371451744063544,0.6372859951592453,0.13319098187613762,True,1.032992344360149
H03,1143,source,381,747,743,193,192,0,0,True,accepted,96452,0.18381564319133759,3.4123277979616456e-05,0.006627527465064746,0.5461213252943456,0.19338162397941586,True,1.1874629584934793e-05
H03,1144,cross_port,851,302,571,78,148,0,0,True,accepted,96489,0.037309445440769196,4.182912242638966e-06,0.00019630111019838228,0.784085176331232,0.31701895512569567,True,3.7890685335439933e-06
H03,1145,off_reconfiguration,-1,128,127,32,32,1,0,True,accepted,96491,0.06515531986951828,3.143404401705634e-05,0.0021371451744063544,0.6372641006197819,0.017928025318194263,True,0.23948679634529713
H03,1146,source,382,747,750,193,194,0,0,True,accepted,96698,0.18574970960617065,2.9153128651082926e-06,0.0008639839178367138,0.6088729252356972,0.1534659655027961,True,1.0889081957232705e-06
H03,1147,cross_port,852,302,849,78,220,0,0,True,accepted,96744,0.044987715780735016,4.182912242638966e-06,0.00022107792249953878,0.7559332611000162,0.31701895512569567,True,3.7890685335439933e-06
H03,1148,off_reconfiguration,-1,128,129,32,32,1,2,True,accepted,96746,0.06284783780574799,2.2265720210995213e-05,1.7203062292734435e-05,0.6372641006197819,0.013147769334663908,True,0.9536515601319183
H03,1149,source,383,750,747,194,193,0,0,True,accepted,96953,0.18704266846179962,2.8816418158942366e-06,0.0008638805603599999,0.6088729252356972,0.1534659655027961,True,1.1591711670255744e-06
H03,1150,cross_port,853,306,585,79,152,0,0,True,accepted,96967,0.016768723726272583,1.2625145916434185e-05,0.0015138714078068271,0.6921851927209942,0.27824532842909533,True,1.1470534339169669e-05
