phase,scene_id,k,method,initializer_seconds,method_seconds,core_seconds,termination,expanded,graph_goal,validated_fallback,plan_files_json,screen_calls,generated_actions,atomic_equivalent_work,peak_open,peak_ancestry,peak_pareto_records,heuristic_evictions,dominance_pruned,repeat_pruned,segment_pruned,reachability_pruned,objective_pruned,fallback_retained,first_Q2_s,first_Q3_pass_s,screen_seconds,process_peak_bytes
TRANSFER,H04,1,A,0.009355530142784119,157.2660413980484,157.27539692819118,retained_record_budget,38171,True,False,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/f3cdfef7182abe2c74784e94d975879c5b5283f0326678cf9189cfac5f9249f4.npz"", ""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/c5da789ddfed870807705bc7caf58a25813b65465e867d1ff5b2d99ef13b2b59.npz""]",4,372903,372903,117,30000,29972,9943,61879,132633,128304,0,0,False,0.10541360825300217,14.897613011300564,58.20465113222599,2936500224
TRANSFER,H04,1,P,0.009355530142784119,59.477332547307014,59.4866880774498,greedy_exhausted,634,True,False,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/f3cdfef7182abe2c74784e94d975879c5b5283f0326678cf9189cfac5f9249f4.npz"", ""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/c5da789ddfed870807705bc7caf58a25813b65465e867d1ff5b2d99ef13b2b59.npz""]",4,5838,5838,10,10,634,0,182,109,1918,0,0,False,0.781807005405426,15.508586578071117,58.447190418839455,2756870144
TRANSFER,H04,2,F,0.06716423481702805,0.0,0.06716423481702805,queue_exhausted,797,False,False,[],0,,,,,,,,,,,,,,,,
TRANSFER,H04,2,P,0.06716423481702805,77.58901400864124,77.65617824345827,greedy_exhausted,661,True,False,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/f3cdfef7182abe2c74784e94d975879c5b5283f0326678cf9189cfac5f9249f4.npz"", ""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/c5da789ddfed870807705bc7caf58a25813b65465e867d1ff5b2d99ef13b2b59.npz""]",4,6221,6221,12,12,661,0,31,73,624,992,0,False,2.8316775485873222,17.66102211922407,74.2472757473588,2822705152
TRANSFER,H04,2,A,0.06716423481702805,215.57267056405544,215.63983479887247,retained_record_budget,34197,True,False,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/f3cdfef7182abe2c74784e94d975879c5b5283f0326678cf9189cfac5f9249f4.npz"", ""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/c5da789ddfed870807705bc7caf58a25813b65465e867d1ff5b2d99ef13b2b59.npz""]",4,292104,292104,215,30002,29853,43783,44820,118033,49201,3328,0,False,0.38627341389656067,15.27878686785698,74.17289873212576,2951540736
TRANSFER,H05,1,F,0.017118193209171295,0.0,0.017118193209171295,queue_exhausted,196,True,True,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/af321ba16887b91c76341ae1af1f6ed160670fb16d600bcc05ae9267e3e6bd78.npz""]",0,,,,,,,,,,,,,,,,
TRANSFER,H05,1,A,0.017118193209171295,67.00571552664042,67.02283371984959,retained_record_budget,35545,False,True,[],0,414395,414395,72,30000,29998,46,27465,0,150704,0,200366,True,,,0.0,2764967936
TRANSFER,H05,1,P,0.017118193209171295,1.405455656349659,1.4225738495588303,greedy_exhausted,1208,False,True,[],0,11485,11485,23,23,1208,0,260,158,3411,0,279,True,,,0.0,2377945088
TRANSFER,H05,2,F,0.044299863278865814,0.0,0.044299863278865814,queue_exhausted,196,True,True,"[""results/e11_mechanism_placement_transfer_v1/selected_plan_witnesses/af321ba16887b91c76341ae1af1f6ed160670fb16d600bcc05ae9267e3e6bd78.npz""]",0,,,,,,,,,,,,,,,,
TRANSFER,H05,2,P,0.044299863278865814,3.0012540370225906,3.0455539003014565,greedy_exhausted,1208,False,True,[],0,11485,11485,23,23,1208,0,260,215,0,0,3633,True,,,0.0,2675089408
TRANSFER,H05,2,A,0.044299863278865814,69.45222491770983,69.4965247809887,retained_record_budget,35545,False,True,[],0,414395,414395,72,30000,29998,46,27465,0,0,0,351070,True,,,0.0,2766741504
