phase,scene_id,k,method,event_id,edge_ids,edge_identity,start_monotonic_s,end_monotonic_s,duration_s,E_miss_Q2,E_rep_Q2,status,E_miss_Q3,E_rep_Q3,error,reservoir_retained,final_nominated
TRANSFER,H02,1,P,0,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1518, 673, 1467, 2077, 726, 722]",2280bd6c265ebb717aaf4f4cd7f940bed1b85539bc9b2cc853ff4559abf0311f,0.7072994410991669,15.693608120083809,14.986308678984642,0.018399055735155184,0.04304155457165243,Q3_PASS,0.018632774304110648,0.041645999263937264,,True,True
TRANSFER,H02,1,P,1,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1518, 673, 1467, 2077, 726, 722, 1566]",c485e14942ac3d394e4db04e9207d63b3f70586c31f477c1c35b1e305c3dfcb0,15.699871271848679,30.438208870589733,14.738337598741055,0.01788786568944851,0.04312663506593745,Q3_PASS,0.018142952038840934,0.04168851813454169,,True,True
TRANSFER,H02,1,P,2,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1518, 673, 1467, 2077, 726, 722, 1566, 2133]",5fb8b82b96406bbfd62a91dbbf0c2ae4687e795cb991e8a339e3255268481c67,30.4473969116807,45.19747610390186,14.750079192221165,0.017802716775356622,0.044231291172171824,Q3_PASS,0.018100393262471183,0.042537938377860976,,True,False
TRANSFER,H02,1,P,3,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1518, 673, 1467, 2077, 726, 722, 1566, 2133, 922]",a61f66921ccdd8e8cf6656f7422263de1c21ed784932a80c75159039ef39463f,45.20357625186443,59.903002962470055,14.699426710605621,0.017802716775356622,0.04457211495156533,Q3_PASS,0.018100393262471183,0.0426657658321861,,True,False
TRANSFER,H02,2,P,0,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 4938, 2012, 811, 1518, 673, 1467, 2077, 726, 722]",aed5c6c6f4cb6299ba2ebdaf39870ad72f565d3b1aba27abd1c714f97f6793a4,3.2287356331944466,18.048680640757084,14.819945007562637,0.018399055735155184,0.04728309933515069,Q3_PASS,0.018632774304110648,0.04601142145030839,,True,True
TRANSFER,H02,2,P,1,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 4938, 2012, 811, 1518, 673, 1467, 2077, 726, 722, 1566]",0fb7b338362af92b5bd580314fb1b692e9eb8fb8a48f97efcb65e03e9e5c4c6b,18.087162151932716,32.783834889531136,14.69667273759842,0.01788786568944851,0.04736817982943571,Q3_PASS,0.018142952038840934,0.04605394032091281,,True,True
TRANSFER,H02,2,P,2,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 4938, 2012, 811, 1518, 673, 1467, 2077, 726, 722, 1566, 2133]",7fce44f04861a22a74dfd846918f282693495cd5aeaca6c904cc1aa22e4295b7,32.80445101112127,47.53148168325424,14.727030672132969,0.017802716775356622,0.04847283593567008,Q3_PASS,0.018100393262471183,0.0469033605642321,,True,False
TRANSFER,H02,2,P,3,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 4938, 2012, 811, 1518, 673, 1467, 2077, 726, 722, 1566, 2133, 922]",a9759015600f18833fc89883948c24565e4f349dc15413f285ff3dbe8f79f6b1,47.55572421103716,62.24109050631523,14.685366295278072,0.017802716775356622,0.04881365971506359,Q3_PASS,0.018100393262471183,0.04703118801855723,,True,False
TRANSFER,H02,2,A,0,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1520, 1467, 2077, 726, 722]",a724c44e5f778d15e90d682b0469c5b2e71bc8001e25c98d878050053cf5895c,0.348147451877594,15.437886349856853,15.08973889797926,0.018399055735155184,0.04280126265569316,Q3_PASS,0.018632774304110648,0.041507955115913216,,True,True
TRANSFER,H02,2,A,1,"[2146, 751, 756, 761, 766, 771, 776, 782, 788, 793, 799, 804, 808, 813, 818, 823, 829, 834, 838, 843, 848, 853, 858, 864, 869, 873, 875, 880, 886, 891, 897, 902, 907, 913, 917, 921, 927, 933, 938, 943, 948, 953, 958, 963, 967, 972, 978, 983, 988, 994, 999, 1003, 1008, 1013, 1019, 1024, 1028, 1033, 1037, 1041, 1046, 1051, 1057, 1062, 1067, 1073, 1079, 1084, 1088, 1093, 1097, 1101, 1106, 1112, 1117, 2123, 811, 1520, 1467, 2077, 726, 722, 1566]",e55b56a66eeec59a723e8ae5f556cd48584531913557bd8acfefe176a7aa49f5,15.455558769404888,30.06330306828022,14.607744298875332,0.01788786568944851,0.04288634314997818,Q3_PASS,0.018142952038840934,0.04155047398651764,,True,True
