E_NUC,E_miss,E_rep,L_S,NUC_generation_time,canonical_layout,evaluation_surface_hash,expansion_policy,geometry_baseline,layout_id,local_refinement_time,mapped_face,mapped_position,mapping_distance_m,max_visit_count,overlap_area_fraction,physical_root_position,remesh_id,root_id,single_coverage_fraction,skeleton_fingerprint,surface_id
0.5828939381706438,0.33583761555718583,0.247056322613458,9.27880054653956,0.0024335170164704323,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R02_M01,0.040239487774670124,92,"[-0.11011272900547182, 0.0796622594196425, 0.00024881341073091506]",0.002953346537101511,4,0.23534332447515735,"[-0.1126409860630074, 0.08112194931239125, 0.0006954423800535112]",M01,R02,0.42881905996765685,7501d33a5c4f0c025e2addf8bef2ddae3a3fe79cc63c345411ccc00a18b03297,hemisphere
0.5828939381706437,0.3358376155571858,0.24705632261345797,9.27880054653956,0.0024717431515455246,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R03_M01,0.04249176848679781,104,"[0.12820119579387398, -0.04828180916101175, 0.0004132278569402917]",0.0018661514183021402,4,0.23527959125405776,"[0.129798742994814, -0.04920415346751761, 0.0006954423800535112]",M01,R03,0.42888279318875644,d13ea293cf23197da3297547df1d56fd95f000a96de0ac35749c0b580fb93f72,hemisphere
0.5834663403584941,0.3358376155571858,0.24762872480130835,9.282179083554682,0.0022883564233779907,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R04_M01,0.03412867058068514,86,"[0.07053132593826861, 0.11510546463188881, 0.0018282278210733395]",0.004439790037047611,4,0.23559690034191444,"[0.07272568970885589, 0.1189062141728344, 0.002499648808534354]",M01,R04,0.4285654841008998,19cd9bd75b0c5e804fa87c122da2461a96b1c78702b35b769e9dfd542863f4c3,hemisphere
0.5836645412262234,0.3347900609003674,0.248874480325856,9.288116122404631,0.0023028934374451637,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R05_M01,0.03746813163161278,71,"[-0.1116229210615345, -0.007841819213602073, 0.07777951851529047]",0.00288661174176519,4,0.23486011140089733,"[-0.11421285213830229, -0.007841819213602073, 0.0790541888119904]",M01,R05,0.4303498276987352,9815c58fd9dfff9fe677d8bb613c1fb59bdcee5a2522ca41e5b3630e2ce186e4,hemisphere
0.5825197368505225,0.3347900609003674,0.24772967595015508,9.281359048374393,0.0023208260536193848,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R06_M01,0.03598272241652012,77,"[0.02943280336318928, -0.11281138681225075, 0.0753647416201019]",0.0007020369183556935,4,0.234225493225184,"[0.02943280336318928, -0.11344126966264609, 0.07567474715152385]",M01,R06,0.4309844458744486,83feca0d628f0a59b6ea3d175bbb9a451b2269f2a2bdb51e1951b56f303766d8,hemisphere
0.5825197368505226,0.33479006090036745,0.2477296759501551,9.281359048374394,0.00246330164372921,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R07_M01,0.04226865526288748,65,"[-0.0024941784530141987, 0.11250643735210439, 0.07598435132287865]",0.0036749112220873757,4,0.234225493225184,"[-0.0024941784530141966, 0.11580364793319438, 0.07760711898159382]",M01,R07,0.4309844458744486,5f7ec07ebd0962958c871534161400537feede8c943047eb9a5278a3a17a6282,hemisphere
0.6744920680496813,0.30780856350865604,0.36668350454102533,9.750073901666413,0.002344041131436825,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R00_M02,0.03605960123240948,0,"[0.026994261849565743, 0.007276797788043908, 0.13541570904824463]",0.0013699996825468543,6,0.27545297244753103,"[0.027208388989726925, 0.007334172982327683, 0.13676765460377036]",M02,R00,0.416738464043813,91db6044423aa6425aac6d8f53fb3be82c4f6cd536b0fece6c1fd4800492c572,hemisphere
0.6770378928900416,0.29955125869368987,0.37748663419635176,9.762824823033048,0.002289337106049061,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R01_M02,0.033479707315564156,101,"[-0.04844856237914346, -0.12697883866325577, 0.00024881341073092027]",0.002953346537101518,6,0.2806540539124572,"[-0.049204153467517525, -0.12979874299481403, 0.0006954423800535112]",M02,R01,0.419794687393853,db71780a6bb07cc960534c668c660a5c27d821403ff4a1ae1c0af23f828bc78d,hemisphere
0.6826753948266528,0.2990211971881125,0.3836541976385403,9.766203360048168,0.0023291902616620064,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R02_M02,0.037166597321629524,93,"[-0.1113365942355692, 0.07981755748495306, 0.00041322785694028474]",0.001866151418302154,6,0.2815185527479456,"[-0.1126409860630074, 0.08112194931239125, 0.0006954423800535112]",M02,R02,0.41946025006394194,e06bd633ed023613fd21c9facf835327268d6bcc7e7b7fd9c1ba7c863f073d10,hemisphere
0.6739377793048016,0.29955125869368987,0.37438652061111166,9.75944628601793,0.0023053716868162155,False,154491f5827fe6549d4e31bec082ee3919f2cc4ac74430ed24cd224685ceb23f,upstream_first,False,R03_M02,0.03934474941343069,107,"[0.12697883866325577, -0.04844856237914356, 0.00024881341073091506]",0.002953346537101489,6,0.27900800619254285,"[0.129798742994814, -0.04920415346751761, 0.0006954423800535112]",M02,R03,0.4214407351137674,6770f2be80928b22124e840423c14f05c56aabf789fe8d6da9d203bbb46daf69,hemisphere
