layout_a,layout_b,ordered_path_distance_m,root_separation_m,same_remesh,same_root,surface_id,tangent_disagreement_rad,tree_edge_jaccard
R02_M01,R04_M01,0.17160610140514848,0.30544409505369907,True,False,saddle,1.8123833663465267,0.23478260869565218
R02_M01,R05_M01,0.08345574842555308,0.1526462598216538,True,False,saddle,1.5908358476998403,0.5434782608695652
R02_M01,R06_M01,0.11685617384834404,0.35525116619951475,True,False,saddle,1.7136040585258923,0.21367521367521367
R02_M01,R07_M01,0.09416526189921012,0.1357386932093949,True,False,saddle,1.540787806161288,0.30275229357798167
R02_M01,R00_M02,0.14057163121101218,0.24517920089956544,False,False,saddle,1.520588446013214,
R02_M01,R01_M02,0.1339915161625182,0.24252793986366894,False,False,saddle,1.5844390410372637,
R02_M01,R02_M02,0.04196195710921451,0.0,False,True,saddle,1.2445747331598938,
R02_M01,R03_M02,0.1746219462848136,0.4778259848870271,False,False,saddle,1.8558580161260108,
R02_M01,R04_M02,0.16194482088069362,0.30544409505369907,False,False,saddle,1.5686283510116255,
R02_M01,R05_M02,0.08511540482416334,0.1526462598216538,False,False,saddle,1.5482933529290044,
R02_M01,R06_M02,0.14759705631486414,0.35525116619951475,False,False,saddle,1.5212960603012107,
R02_M01,R07_M02,0.09219367868328711,0.1357386932093949,False,False,saddle,1.5531015901474794,
R02_M01,R00_M03,0.14038264319100338,0.24517920089956544,False,False,saddle,1.497214201701583,
R02_M01,R01_M03,0.14289771290749523,0.24252793986366894,False,False,saddle,1.5002188369398848,
R02_M01,R02_M03,0.07712426103379508,0.0,False,True,saddle,1.4703991847637101,
R02_M01,R03_M03,0.16164109440643815,0.4778259848870271,False,False,saddle,1.7263765982176742,
R02_M01,R04_M03,0.16742405671786997,0.30544409505369907,False,False,saddle,1.604559933621896,
R02_M01,R05_M03,0.07639694933105454,0.1526462598216538,False,False,saddle,1.4840708630959916,
R02_M01,R06_M03,0.14660173635285062,0.35525116619951475,False,False,saddle,1.4960287493571112,
R02_M01,R07_M03,0.09276187456452985,0.1357386932093949,False,False,saddle,1.6590810061900538,
R03_M01,R04_M01,0.07319396847811584,0.17628006052007966,True,False,saddle,1.5843202322554724,0.775
R03_M01,R05_M01,0.15823606412025426,0.32522711228670387,True,False,saddle,1.3907283975566993,0.3523809523809524
R03_M01,R06_M01,0.13918040813190144,0.12467479149085658,True,False,saddle,1.4733837734455253,0.36538461538461536
R03_M01,R07_M01,0.15163766733685297,0.34306397327789784,True,False,saddle,1.5711068486981357,0.16393442622950818
R03_M01,R00_M02,0.12350345308064735,0.2371448503244675,False,False,saddle,1.559156192388939,
R03_M01,R01_M02,0.119101849724884,0.24553931105559418,False,False,saddle,1.6696811966946894,
R03_M01,R02_M02,0.1668377006263286,0.4778259848870271,False,False,saddle,1.7125531538509975,
R03_M01,R03_M02,0.05473985945242783,0.0,False,True,saddle,1.3150622952002378,
