scene_id,k,method,edge_ids_sha256,screen_status,E_miss_Q2,E_rep_Q2,E_miss_Q3,E_rep_Q3,seconds
T33,1,B,855dd97881d2c35dcbcc5494d8781f5513089b9d8ab53d29d9e3164890a8bfe1,SCREEN_NOT_RUN,0.018057366454726713,0.04164539226131635,,,0.0
T33,1,B,b049d079b9b6011e102da3be7071fa3da38146420c75082a1e8347d89f8910d8,SCREEN_NOT_RUN,0.01720548950588534,0.041225933328805836,,,0.0
T33,1,B,c595ceb1cf362951360bd98ae05958d0ebd0cc990d9c8ec5f5cabcba88c4ca47,Q3_PASS,0.01720548950588534,0.041225933328805836,0.017333450879924,0.039547621335904684,14.160939805209637
T33,1,B,57d88235ad39a787ea0120e315563ef50b1828c7e70a8ff6981542b41275fb00,Q3_PASS,0.016694299460178665,0.040632101988164894,0.01686490372652967,0.03893261741980699,14.256791226565838
T33,1,B,31297588a11128344970310ec29b327d38bedca8a935f3358f2242e2a613ba9e,SCREEN_NOT_RUN,0.016609150546086783,0.041736758094399265,,,0.0
T33,2,B,9a44098454d2a777044ddbafb5f541aa84620607d3e434d55f0a594733b84175,Q3_PASS,0.0181425153688186,0.04003701727142175,0.018376839476311968,0.03850765380008452,14.324937008321285
T33,2,B,855dd97881d2c35dcbcc5494d8781f5513089b9d8ab53d29d9e3164890a8bfe1,SCREEN_NOT_RUN,0.018057366454726713,0.04164539226131613,,,0.0
T33,2,B,b049d079b9b6011e102da3be7071fa3da38146420c75082a1e8347d89f8910d8,SCREEN_NOT_RUN,0.01720548950588534,0.04122593332880562,,,0.0
T33,2,B,c595ceb1cf362951360bd98ae05958d0ebd0cc990d9c8ec5f5cabcba88c4ca47,SCREEN_NOT_RUN,0.01720548950588534,0.04122593332880562,,,0.0
T33,2,B,57d88235ad39a787ea0120e315563ef50b1828c7e70a8ff6981542b41275fb00,Q3_PASS,0.016694299460178665,0.04063210198816468,0.01686490372652967,0.03893261741980699,14.297934629023075
