candidate_id,condition,family,mesh_projection_max_m,mesh_projection_mean_m,missed_lower,missed_upper,path_length_m,path_step_m,quadrature,repeat_lower,repeat_upper,runtime_s,schedule_index,surface_id,surface_samples,uncertain_area_fraction
saddle/raster_u_phase_0.00_k2,R,raster_u_phase_0.00_k2,,,0.026563811733936855,0.02667521936298122,3.888454204781639,0.00025,Q2,0.005488363200604197,0.005488363200604197,114.45820713043213,4,saddle,36864,0.0011502264360310549
hemisphere/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,8.048118108610025,0.001,Q0,0.02500417713170942,0.02500417713170942,0.0476125106215477,0,hemisphere,1152,0.0
hemisphere/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,8.048118108610026,0.0005,Q0,0.02500417713170942,0.02500417713170942,0.0924782082438469,1,hemisphere,1152,0.0
hemisphere/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,8.048118108610025,0.00025,Q0,0.02500417713170942,0.02500417713170942,0.1822832003235817,2,hemisphere,1152,0.0
hemisphere/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,8.048118108610025,0.00025,Q1,0.02850379540388044,0.02850379540388044,0.7146130725741386,3,hemisphere,4608,0.0
hemisphere/raster_u_phase_0.00,R,raster_u_phase_0.00,,,0.0,0.0,8.048118108610025,0.00025,Q2,0.028613771009902214,0.028613771009902214,2.893660791218281,4,hemisphere,18432,0.0
hemisphere/raster_u_phase_0.25,R,raster_u_phase_0.25,,,0.0,0.0,8.048118108610026,0.001,Q0,0.02500417713170942,0.02500417713170942,0.046966180205345154,0,hemisphere,1152,0.0
hemisphere/raster_u_phase_0.25,R,raster_u_phase_0.25,,,0.0,0.0,8.048118108610025,0.0005,Q0,0.02500417713170942,0.02500417713170942,0.09001464396715164,1,hemisphere,1152,0.0
hemisphere/raster_u_phase_0.25,R,raster_u_phase_0.25,,,0.0,0.0,8.048118108610025,0.00025,Q0,0.02500417713170942,0.02500417713170942,0.18427596986293793,2,hemisphere,1152,0.0
hemisphere/raster_u_phase_0.25,R,raster_u_phase_0.25,,,0.0,0.0,8.048118108610025,0.00025,Q1,0.028503795403880438,0.028503795403880438,0.6969490051269531,3,hemisphere,4608,0.0
hemisphere/raster_u_phase_0.25,R,raster_u_phase_0.25,,,0.0,0.0,8.048118108610025,0.00025,Q2,0.028613771009902214,0.028613771009902214,2.883602060377598,4,hemisphere,18432,0.0
hemisphere/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,12.52695790652323,0.001,Q0,0.5729492110669279,0.5729492110669279,0.06476184725761414,0,hemisphere,1152,0.0
hemisphere/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,12.52695790652323,0.0005,Q0,0.5729492110669279,0.5729492110669279,0.13756536692380905,1,hemisphere,1152,0.0
hemisphere/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,12.526957906523227,0.00025,Q0,0.5733933602740353,0.5733933602740353,0.28664033859968185,2,hemisphere,1152,0.0
hemisphere/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,12.526957906523227,0.00025,Q1,0.5832434069080855,0.5832434069080855,1.1288545802235603,3,hemisphere,4608,0.0
hemisphere/raster_v_phase_0.00,R,raster_v_phase_0.00,,,0.0,0.0,12.526957906523227,0.00025,Q2,0.5768596527647245,0.5768596527647245,4.548541963100433,4,hemisphere,18432,0.0
hemisphere/spiral_phase_0.00,R,spiral_phase_0.00,,,0.013625651922946458,0.013625651922946458,7.847187061321866,0.001,Q0,0.0018627750873507513,0.0018627750873507513,0.04640980809926987,0,hemisphere,1152,0.0
hemisphere/spiral_phase_0.00,R,spiral_phase_0.00,,,0.013625651922946458,0.013625651922946458,7.847187061321866,0.0005,Q0,0.003104285095821416,0.003104285095821416,0.0916856899857521,1,hemisphere,1152,0.0
hemisphere/spiral_phase_0.00,R,spiral_phase_0.00,,,0.013625651922946458,0.013625651922946458,7.847187061321865,0.00025,Q0,0.0038983740960570426,0.0038983740960570426,0.17708860337734222,2,hemisphere,1152,0.0
hemisphere/spiral_phase_0.00,R,spiral_phase_0.00,,,0.012608655024361148,0.012608655024361148,7.847187061321865,0.00025,Q1,0.020379376281182495,0.020379376281182495,0.7064902633428574,3,hemisphere,4608,0.0
hemisphere/spiral_phase_0.00,R,spiral_phase_0.00,,,0.012865105371146915,0.012865105371146915,7.847187061321865,0.00025,Q2,0.020481885135644542,0.020481885135644542,2.792651116847992,4,hemisphere,18432,0.0
