E_NUC,E_miss,E_rep,J_q,admission_reasons,admitted,anisotropy_level,baseline_reconstruction_error,formulation,integrated_L_G_diagnostic,max_axis_error,max_position_error,mean_abs_alignment_cheap,mean_abs_alignment_expensive,median_log_kappa_R,min_joint_limit_margin,min_sigma_min_5,minimum_absolute_joint_margin_rad,optimized,placement_id,q_sample_count,solver,strict_pass,surface_candidate_id,surface_id,surface_length,terminal_q_mismatch,window_id
0.99733418627566,0.99563947852366,0.0016947077520000245,0.8026627219868667,,True,P_mid,0.0,F2,0.630598978700945,0.00015634392928225852,3.3875898298570935e-05,0.5256991582469666,0.8446640229868834,1.5979202673345825,0.22438969597707678,0.45977119983830944,1.4098404598239735,False,T27,27,single_warm_continuation_surface_bank,,baseline,hemisphere,0.04852586982151051,0.0,hemisphere_P_mid_W04
0.9936795512658346,0.9936795512658346,0.0,0.5949977278883385,,True,P_mid,,F2,0.5417176819462245,0.00015567863425634232,2.5932884233852732e-05,0.3219604622664408,0.8369804603332096,0.5599351031582362,0.17496553253689395,0.6248384572714163,1.0993084409293048,True,T27,26,single_warm_continuation_surface_bank,True,19,hemisphere,0.04742372327267518,0.0010943760714101636,hemisphere_P_mid_W05
0.996421685070506,0.9949719217641131,0.0014497633063929143,0.5269602522883771,,True,P_mid,,F2,0.4909184755479276,0.00019036968466446433,2.3693680611227305e-05,0.9034587731653653,0.36158857670196026,0.18675952458787176,0.1710760184742387,0.6829347054597577,1.0748706240736419,True,T27,26,single_warm_continuation_surface_bank,True,11,hemisphere,0.04685841368289272,0.00035341480894768296,hemisphere_P_mid_W06
0.9968980253568458,0.9955764899673795,0.001321535389466336,0.6298206676492579,,True,P_mid,0.0,F2,0.6140933635645626,0.00015456840923579396,2.2916468435512343e-05,0.6971984601761708,0.7152582349367557,1.0177974163298336,0.10066604574456714,0.47741215319063124,0.6324847654131154,False,T27,27,single_warm_continuation_surface_bank,,baseline,hemisphere,0.04953445683711794,0.0,hemisphere_P_mid_W07
0.9935848752759462,0.9935848752759462,0.0,0.4548169760353724,,True,P_mid,,F2,0.4038995855370338,0.00014122749955507245,1.0617913287616198e-05,0.8481335409888742,0.40903160657777377,1.0409160467647949,0.2034538242798632,0.566104148053662,1.2783003779503805,True,T27,27,single_warm_continuation_surface_bank,True,6,hemisphere,0.0474968903108616,0.00030149872357299046,hemisphere_P_mid_W08
0.9935517343624978,0.9933910107187239,0.00016072364377388144,0.3910014962346092,,True,P_mid,,F2,0.366848854735288,0.0001256175675874354,9.161107614415842e-06,0.7240174298836916,0.4803817248993668,1.1432039260298494,0.20653612584740938,0.6790804820231541,1.5709461722054219,True,T27,27,single_warm_continuation_surface_bank,True,15,hemisphere,0.04730270253413445,0.00020410127319925309,hemisphere_P_mid_W09
0.9944042575972375,0.9920332306352807,0.00237102696195684,0.15601325991865442,,True,P_high,,F2,0.1291367297746198,0.0014854575181510031,0.0007442093450789584,0.9437252474754108,0.21074109065749366,1.8983853185426303,0.09131406859149384,0.9723832125996852,1.1474872852667763,True,T10,27,single_warm_continuation_surface_bank,True,12,saddle,0.04833289828142069,5.222827183626322e-05,saddle_P_high_W00
0.9882313425004375,0.9882313425004375,0.0,0.14719853065263994,,True,P_high,,F2,0.13807952498929335,1.850961759801936e-05,4.284223794401457e-06,0.8559681612660949,0.4855927164611397,1.025757121391619,0.1088298750594346,0.8850530010156977,1.367597565349378,True,T10,25,single_warm_continuation_surface_bank,True,20,saddle,0.04665206121848783,0.00013859458921761103,saddle_P_high_W01
0.9858487976857729,0.9858487976857729,0.0,0.15816017372941385,,True,P_high,0.0,F2,0.15144132567078541,1.2409697420161633e-05,3.7261182543754488e-06,0.7703895041206686,0.5962558904444528,1.1759660068944175,0.1131835333070755,0.8725099218322305,1.4223072892793676,False,T10,26,single_warm_continuation_surface_bank,,baseline,saddle,0.04816480038405495,0.0,saddle_P_high_W02
0.9944770721794962,0.990422907158716,0.004054165020780296,0.20114173156439033,,True,P_high,,F2,0.1828570421106927,1.5685827495921848e-05,5.755143085823738e-06,0.7247562562290459,0.6045479443135712,1.8409784533619746,0.0975599906781987,0.9850977291529538,1.2259759156587027,True,T10,27,single_warm_continuation_surface_bank,True,2,saddle,0.04733534019938689,1.07674774003641e-05,saddle_P_high_W03
0.988826917346253,0.988524942139395,0.0003019752068580255,0.13043183632897593,,True,P_high,,F2,0.12828270507447748,8.692014778831627e-06,4.286658983835232e-06,0.6975009000955871,0.6288749070509435,0.69134880630112,0.12975851060904356,0.74244364068826,1.6305947525472728,True,T10,26,single_warm_continuation_surface_bank,True,21,saddle,0.04766912708770383,2.9889839821883868e-05,saddle_P_high_W04
0.9873979368624795,0.987114986560685,0.00028295030179448683,0.15644483588214025,,True,P_high,,F2,0.1545715178032869,1.6503727246865062e-05,7.236421459157539e-06,0.7935328378436388,0.46705094811986075,1.6159190911731809,0.1141256959718746,0.9013516924245791,1.4341468633470456,True,T10,27,single_warm_continuation_surface_bank,True,5,saddle,0.04866396178968443,0.00028769679639850665,saddle_P_high_W05
