E_NUC,E_miss,E_rep,J_q,admission_reasons,admitted,anisotropy_level,baseline_reconstruction_error,formulation,integrated_L_G_diagnostic,max_axis_error,max_position_error,mean_abs_alignment_cheap,mean_abs_alignment_expensive,median_log_kappa_R,min_joint_limit_margin,min_sigma_min_5,minimum_absolute_joint_margin_rad,optimized,placement_id,q_sample_count,solver,surface_candidate_id,surface_id,surface_length,terminal_q_mismatch,window_id
0.9932187441162591,0.9920332306352807,0.00118551348097842,0.16613037814745343,,True,P_high,0.0,F0,0.132970396085018,1.3796962537819324e-05,4.0256474948599355e-06,0.9378033137902031,0.18444011444386857,1.9017716374020026,0.09107945744803717,0.971606758235575,1.1445390724858653,False,T10,27,fixed_archived_witness,baseline,saddle,0.04904004029692826,0.0,saddle_P_high_W00
0.9876576300158606,0.9876576300158606,0.0,0.147650457284491,,True,P_high,0.0,F0,0.13925823858384628,1.4055247289912177e-05,4.179835010344358e-06,0.8475719990057141,0.4912242044852072,1.0230467449379124,0.10882987505943453,0.8850530010156977,1.367597565349377,False,T10,25,fixed_archived_witness,baseline,saddle,0.0468101581140737,0.0,saddle_P_high_W01
0.9858487976857729,0.9858487976857729,0.0,0.15816017372941385,,True,P_high,0.0,F0,0.15144132567078541,1.2409697420161633e-05,3.7261182543754488e-06,0.7703895041206686,0.5962558904444528,1.1759660068944175,0.1131835333070755,0.8725099218322305,1.4223072892793676,False,T10,26,fixed_archived_witness,baseline,saddle,0.04816480038405495,0.0,saddle_P_high_W02
0.9921670141597018,0.990422907158716,0.0017441070009858093,0.2078711763027938,,True,P_high,0.0,F0,0.19397272218963774,1.3733439189130488e-05,3.830946809307432e-06,0.6917714894465132,0.6901319108705408,1.8409784533618472,0.09753651367186227,0.9838821828505696,1.2256808946758166,False,T10,27,fixed_archived_witness,baseline,saddle,0.04745132947362692,0.0,saddle_P_high_W03
0.988524942139395,0.988222966932537,0.0003019752068580255,0.13390184691117954,,True,P_high,0.0,F0,0.13223738810205654,5.721172716908053e-06,4.329723048424872e-06,0.7028342748603321,0.6756776804072694,0.6926979450753279,0.12975851060904356,0.74244364068826,1.6305947525472728,False,T10,26,fixed_archived_witness,baseline,saddle,0.04816421901077504,0.0,saddle_P_high_W04
0.9868359968783824,0.9868359968783824,0.0,0.16058093920720365,,True,P_high,0.0,F0,0.15848462939580246,1.3155809813408333e-05,4.124870377957749e-06,0.7919183109193288,0.49673962451436104,1.6087099484597562,0.11412569597187452,0.9013516924245791,1.4341468633470447,False,T10,27,fixed_archived_witness,baseline,saddle,0.0492231672477149,0.0,saddle_P_high_W05
0.986348510741967,0.9860578010341929,0.00029070970777415336,0.1414090251979389,,True,P_high,0.0,F0,0.13811706517037628,1.2568906433507928e-05,4.4292955213779565e-06,0.834262754726156,0.3888175645121691,2.489357443324986,0.11707863423590015,0.7961584692853454,1.471254607689331,False,T10,25,fixed_archived_witness,baseline,saddle,0.04639454254829031,0.0,saddle_P_high_W06
0.9864833820339661,0.9864833820339661,0.0,0.1937864905031788,,True,P_high,0.0,F0,0.1782283561905546,1.811450514701229e-05,8.137207246279581e-06,0.8531316494476667,0.4104931289469715,2.2735952776001445,0.1101080285497658,0.7470501671124065,1.383659327807206,False,T10,27,fixed_archived_witness,baseline,saddle,0.04988796696232318,0.0,saddle_P_high_W07
0.9863783708427762,0.9863783708427762,0.0,0.20510069984382492,,True,P_high,0.0,F0,0.18503827855282431,1.6451435343459096e-05,6.093048208342131e-06,0.7470412138506002,0.5852703350081457,1.5247420644783034,0.09401284304571417,0.9479296332243635,1.1814011105928017,False,T10,27,fixed_archived_witness,baseline,saddle,0.04833539204434844,0.0,saddle_P_high_W08
0.9891587423483825,0.9891587423483825,0.0,0.20490482538517601,,True,P_high,0.0,F0,0.1804617763902008,1.0660716040524414e-05,8.248533907093415e-06,0.7821973770978344,0.42460673054108444,1.8885345959756357,0.08728844407643996,0.9338323877661007,1.0968997578732935,False,T10,27,fixed_archived_witness,baseline,saddle,0.04915920156702293,0.0,saddle_P_high_W09
